scenario,variant,n,penalty,weight,strategy,ndcg
running,delay,3,7,var2,SubtreeWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,7,var2,ResponseTimeAnalysis,0.867320
running,delay,3,7,var2,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,7,var2,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.912010
running,delay,3,7,var2,HybridWithUncertainty,1.000000
running,delay,3,7,var2,HybridWithUncertaintyPropagation,1.000000
running,delay,3,7,var2,HybridWithUncertaintyAndPenalty,0.912010
running,delay,3,7,var2,HybridWithUncertaintyPropagationAndPenalty,0.912010
running,delay,3,5,var3,Subtree,1.000000
running,delay,3,5,var3,SubtreeWithUncertainty,0.941340
running,delay,3,5,var3,SubtreeWithUncertaintyPropagation,0.941340
running,delay,3,5,var3,SubtreeWithPenalty,1.000000
running,delay,3,5,var3,SubtreeWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,5,var3,ResponseTimeAnalysis,0.867320
running,delay,3,5,var3,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,5,var3,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.941340
running,delay,3,5,var3,HybridWithUncertainty,1.000000
running,delay,3,5,var3,HybridWithUncertaintyPropagation,1.000000
running,delay,3,5,var3,HybridWithUncertaintyAndPenalty,0.941340
running,delay,3,5,var3,HybridWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,5,var2,Subtree,1.000000
running,delay,3,5,var2,SubtreeWithUncertainty,1.000000
running,delay,3,5,var2,SubtreeWithUncertaintyPropagation,1.000000
running,delay,3,5,var2,SubtreeWithPenalty,1.000000
running,delay,3,5,var2,SubtreeWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,5,var2,ResponseTimeAnalysis,0.867320
running,delay,3,5,var2,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,5,var2,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.912010
running,delay,3,5,var2,HybridWithUncertainty,1.000000
running,delay,3,5,var2,HybridWithUncertaintyPropagation,1.000000
running,delay,3,5,var2,HybridWithUncertaintyAndPenalty,0.912010
running,delay,3,5,var2,HybridWithUncertaintyPropagationAndPenalty,0.941340
